filename,category,score,path
27096796.pdf,ARTS,3.34,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ARTS\27096796.pdf
35422305.pdf,HEALTHCARE,3.33,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\HEALTHCARE\35422305.pdf
26509539.pdf,CONSTRUCTION,3.33,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\CONSTRUCTION\26509539.pdf
20806155.pdf,HR,3.29,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\HR\20806155.pdf
26746496.pdf,INFORMATION-TECHNOLOGY,3.29,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\INFORMATION-TECHNOLOGY\26746496.pdf
12491898.pdf,CONSTRUCTION,3.28,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\CONSTRUCTION\12491898.pdf
66832845.pdf,INFORMATION-TECHNOLOGY,3.27,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\INFORMATION-TECHNOLOGY\66832845.pdf
14278888.pdf,PUBLIC-RELATIONS,3.27,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\PUBLIC-RELATIONS\14278888.pdf
35325329.pdf,INFORMATION-TECHNOLOGY,3.27,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\INFORMATION-TECHNOLOGY\35325329.pdf
37913536.pdf,PUBLIC-RELATIONS,3.25,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\PUBLIC-RELATIONS\37913536.pdf
78298706.pdf,CONSTRUCTION,3.25,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\CONSTRUCTION\78298706.pdf
14966165.pdf,PUBLIC-RELATIONS,3.24,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\PUBLIC-RELATIONS\14966165.pdf
33685075.pdf,ENGINEERING,3.24,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ENGINEERING\33685075.pdf
16210888.pdf,TEACHER,3.24,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\TEACHER\16210888.pdf
29267293.pdf,TEACHER,3.23,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\TEACHER\29267293.pdf
11605833.pdf,HEALTHCARE,3.22,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\HEALTHCARE\11605833.pdf
17103000.pdf,ENGINEERING,3.21,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ENGINEERING\17103000.pdf
11174187.pdf,ADVOCATE,3.17,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ADVOCATE\11174187.pdf
25224998.pdf,CONSTRUCTION,3.16,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\CONSTRUCTION\25224998.pdf
55500538.pdf,AGRICULTURE,3.14,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\AGRICULTURE\55500538.pdf
23807940.pdf,CHEF,3.13,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\CHEF\23807940.pdf
22946204.pdf,AUTOMOBILE,3.13,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\AUTOMOBILE\22946204.pdf
26768723.pdf,INFORMATION-TECHNOLOGY,3.13,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\INFORMATION-TECHNOLOGY\26768723.pdf
82738323.pdf,AVIATION,3.12,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\AVIATION\82738323.pdf
13855004.pdf,TEACHER,3.11,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\TEACHER\13855004.pdf
14106638.pdf,FINANCE,3.1,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\FINANCE\14106638.pdf
22182279.pdf,ARTS,3.09,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ARTS\22182279.pdf
20237244.pdf,INFORMATION-TECHNOLOGY,3.09,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\INFORMATION-TECHNOLOGY\20237244.pdf
19364677.pdf,CONSTRUCTION,3.08,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\CONSTRUCTION\19364677.pdf
29167286.pdf,AVIATION,3.08,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\AVIATION\29167286.pdf
65325317.pdf,ARTS,3.08,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ARTS\65325317.pdf
14140903.pdf,AGRICULTURE,3.07,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\AGRICULTURE\14140903.pdf
20698469.pdf,ARTS,3.06,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ARTS\20698469.pdf
21511817.pdf,CHEF,3.05,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\CHEF\21511817.pdf
29483501.pdf,CONSTRUCTION,3.03,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\CONSTRUCTION\29483501.pdf
62312955.pdf,DESIGNER,3.01,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\DESIGNER\62312955.pdf
15941675.pdf,ENGINEERING,3.01,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ENGINEERING\15941675.pdf
12022566.pdf,ENGINEERING,3.0,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ENGINEERING\12022566.pdf
